#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
2.222222     3.744315     0.313204     7054381.895472
2.237237     3.759754     0.312388     7083542.916534
2.252252     3.776778     0.308694     7046744.268131
2.267267     3.801079     0.304390     6994813.826537
2.282282     3.833565     0.306703     7094652.956981
2.297297     3.868379     0.320891     7471690.360292
2.312312     3.898458     0.346089     8111063.084840
2.327327     3.919806     0.378961     8939133.713664
2.342342     3.928667     0.415855     9872690.284806
2.357357     3.922330     0.449132     10731075.377351
2.372372     3.904422     0.468939     11275685.570404
2.387387     3.885863     0.469519     11361085.810714
2.402402     3.879468     0.454941     11077571.761789
2.417417     3.890646     0.437398     10716967.899882
2.432432     3.913597     0.427195     10532002.472946
2.447447     3.939594     0.424214     10523056.861048
2.462462     3.967702     0.423333     10565623.221575
2.477477     4.002164     0.424856     10668297.109180
2.492492     4.043816     0.434311     10971815.859303
2.507508     4.088257     0.456584     11603971.267258
2.522523     4.128257     0.493041     12605552.859779
2.537538     4.155693     0.540172     13892753.292965
2.552553     4.165512     0.588177     15216895.946465
2.567568     4.161768     0.624877     16261471.892940
2.582583     4.156509     0.644794     16877899.583457
2.597598     4.162010     0.652204     17171134.148874
2.612613     4.184003     0.659225     17456311.811133
2.627628     4.216233     0.676911     18027630.798758
2.642643     4.249765     0.704868     18879470.454969
2.657658     4.284164     0.740060     19934703.076124
2.672673     4.319095     0.785495     21278089.423641
2.687688     4.349487     0.842188     22941999.250609
2.702703     4.372414     0.907888     24869897.159201
2.717718     4.385879     0.981929     27047540.572515
2.732733     4.385736     1.062742     29435317.811718
2.747748     4.368415     1.145121     31891253.172917
2.762763     4.334162     1.222875     34242796.230348
2.777778     4.283963     1.291217     36352997.790969
2.792793     4.220141     1.342296     37995359.124397
2.807808     4.153709     1.368761     38952775.168582
2.822823     4.100625     1.375271     39347352.293471
2.837838     4.066917     1.378228     39641687.774649
2.852853     4.043293     1.390865     40216824.651592
2.867868     4.016056     1.413289     41080314.865566
2.882883     3.977333     1.436401     41970698.359098
2.897898     3.929056     1.447933     42528018.779196
2.912913     3.882920     1.441775     42566548.973807
2.927928     3.851137     1.423319     42238260.411060
2.942943     3.837299     1.405225     41915183.887432
2.957958     3.834777     1.396119     41856022.625545
2.972973     3.838543     1.397247     42102484.818915
2.987988     3.844830     1.413472     42806475.762165
3.003003     3.840768     1.447025     44042847.428035
3.018018     3.813891     1.486253     45462987.741950
3.033033     3.765676     1.512544     46497399.212391
3.048048     3.711469     1.516528     46850653.643473
3.063063     3.663038     1.503487     46676604.933675
3.078078     3.623131     1.477474     46093849.023769
3.093093     3.598230     1.440278     45152623.401810
3.108108     3.594637     1.402166     44171192.115190
3.123123     3.607943     1.375777     43549260.898956
3.138138     3.627923     1.365942     43445789.633321
3.153153     3.646054     1.371763     43839707.028576
3.168168     3.655430     1.389437     44615997.576027
3.183183     3.652139     1.412184     45561345.039525
3.198198     3.636552     1.432998     46450946.521432
3.213213     3.611881     1.446907     47121995.719535
3.228228     3.582112     1.451050     47477754.684959
3.243243     3.552087     1.443919     47464178.782015
3.258258     3.527176     1.426449     47106996.237802
3.273273     3.512008     1.402460     46528211.659584
3.288288     3.507940     1.378405     45939906.830009
3.303303     3.511184     1.359697     45523339.767633
3.318318     3.516166     1.345945     45267748.464376
3.333333     3.522333     1.333868     45064545.880363
3.348348     3.531186     1.323733     44923614.055778
3.363363     3.542387     1.316341     44873057.653077
3.378378     3.556691     1.312334     44936169.420450
3.393393     3.573951     1.315462     45243479.552963
3.408408     3.588915     1.329419     45925827.765011
3.423423     3.592930     1.352293     46921828.367348
3.438438     3.580792     1.374349     47896274.582498
3.453453     3.557111     1.385361     48490866.525907
3.468468     3.529791     1.382431     48598717.365482
3.483483     3.504742     1.365070     48196127.872171
3.498498     3.489481     1.334644     47324999.253043
3.513514     3.490628     1.297782     46215434.175095
3.528529     3.509537     1.265165     45246424.953353
3.543544     3.538848     1.246198     44757773.063428
3.558559     3.567098     1.240829     44753768.883902
3.573574     3.589046     1.241433     44964462.385474
3.588589     3.607166     1.242033     45175208.763141
3.603604     3.625817     1.241994     45362805.252182
3.618619     3.647249     1.244811     45655157.189964
3.633634     3.668059     1.254690     46208419.297652
3.648649     3.682134     1.269935     46963144.252508
3.663664     3.687216     1.285216     47723835.009477
3.678679     3.683706     1.295239     48293107.043661
3.693694     3.675026     1.293804     48436506.234124
3.708709     3.670679     1.277551     48022467.432157
3.723724     3.680881     1.253243     47299453.466226
3.738739     3.705289     1.232749     46713600.823656
3.753754     3.736181     1.220756     46444899.937329
3.768769     3.767961     1.215356     46424406.114636
3.783784     3.799259     1.212591     46503361.157893
3.798799     3.832745     1.210727     46616127.715964
3.813814     3.870210     1.212374     46864020.631025
3.828829     3.909078     1.220837     47376964.456657
3.843844     3.943784     1.235096     48118264.385617
3.858859     3.971821     1.248279     48821838.978891
3.873874     3.998993     1.253703     49224754.472873
3.888889     4.033937     1.253159     49394102.272331
3.903904     4.080199     1.252425     49555787.275819
3.918919     4.138861     1.257645     49953739.384337
3.933934     4.206664     1.275767     50867697.104172
3.948949     4.276676     1.308949     52389928.479785
3.963964     4.345230     1.355092     54443002.123956
3.978979     4.411298     1.415086     57068699.916101
3.993994     4.468836     1.490597     60340830.688307
4.009009     4.511478     1.576160     64044348.552625
4.024024     4.539701     1.665759     67938537.387773
4.039039     4.553203     1.757981     71967373.671961
4.054054     4.548355     1.847102     75896875.772829
4.069069     4.529106     1.922412     79283906.736668
4.084084     4.507854     1.980790     81992954.532023
4.099099     4.492775     2.029729     84327657.862141
4.114114     4.482142     2.076591     86590610.433225
4.129129     4.472271     2.120898     88760926.525022
4.144144     4.466238     2.160457     90745265.034771
4.159159     4.468206     2.200254     92751692.635768
4.174174     4.474607     2.247069     95067168.445865
4.189189     4.478293     2.300834     97691942.439108
4.204204     4.476275     2.356458     100412310.522000
4.219219     4.470817     2.409677     103046782.773933
4.234234     4.465474     2.460648     105600967.118969
4.249249     4.460566     2.510847     108137416.244548
4.264264     4.455895     2.559162     110607734.182677
4.279279     4.453973     2.603038     112900209.189469
4.294294     4.462848     2.642089     114996001.405515
4.309309     4.491630     2.686832     117352309.480778
4.324324     4.536522     2.754691     120735394.325672
4.339339     4.581661     2.854135     125528300.610333
4.354354     4.613680     2.981449     131581469.813148
4.369369     4.625786     3.132366     138718641.220835
4.384384     4.610191     3.303259     146789436.964972
4.399399     4.558853     3.488285     155542424.006405
4.414414     4.461665     3.678223     164571508.277172
4.429429     4.310013     3.853285     172990559.972426
4.444444     4.110311     3.984048     179467387.069048
4.459459     3.892517     4.049080     183013069.810557
4.474474     3.695390     4.055924     183939646.116784
4.489489     3.536739     4.037501     183718590.433030
4.504505     3.401315     4.022365     183642019.647017
4.519520     3.261356     4.007501     183573283.404901
4.534535     3.115228     3.964613     182212042.325033
4.549550     2.994721     3.884774     179133864.522431
4.564565     2.922565     3.795043     175573740.948971
4.579580     2.891243     3.728197     173048541.748673
4.594595     2.874130     3.701797     172386535.695986
4.609610     2.840427     3.711589     173407373.219390
4.624625     2.768989     3.735204     175079094.807088
4.639640     2.657153     3.739046     175828199.510039
4.654655     2.530203     3.694462     174293922.176784
4.669670     2.427450     3.603216     170537517.356553
4.684685     2.369854     3.493558     165879186.855481
4.699700     2.352915     3.392750     161608993.881267
4.714715     2.362068     3.314496     158385892.751322
4.729730     2.382998     3.262719     156408209.773559
4.744745     2.404292     3.235516     155596534.952501
4.759760     2.417974     3.229536     155800453.851673
4.774775     2.414433     3.240298     156812768.426397
4.789790     2.384590     3.254297     157985493.423372
4.804805     2.332586     3.251175     158328708.940883
4.819820     2.278510     3.220056     157303279.840366
4.834835     2.242710     3.169987     155339768.340595
4.849850     2.229643     3.119679     153349266.730885
