#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
2.177177     3.135614     2.694838     59466169.973123
2.192192     3.094062     2.664309     59197958.563202
2.207207     3.068436     2.627874     58788327.313397
2.222222     3.056686     2.590075     58336901.728202
2.237237     3.060714     2.556032     57959132.461792
2.252252     3.076126     2.536215     57895738.098208
2.267267     3.089154     2.531880     58182104.194074
2.282282     3.094909     2.532567     58583288.743536
2.297297     3.098682     2.535199     59030001.061360
2.312312     3.098538     2.543312     59605951.665152
2.327327     3.087860     2.551277     60180897.672170
2.342342     3.071716     2.546868     60464487.096561
2.357357     3.066539     2.530111     60451704.596152
2.372372     3.079768     2.516667     60513478.212190
2.387387     3.102544     2.519825     60972902.669528
2.402402     3.121644     2.540497     61859717.555214
2.417417     3.129289     2.572234     63023962.441150
2.432432     3.122914     2.607332     64280701.858157
2.447447     3.104724     2.638014     65438587.845896
2.462462     3.081961     2.660850     66410003.268459
2.477477     3.060355     2.679748     67289491.295452
2.492492     3.039014     2.700349     68217743.820382
2.507508     3.012698     2.724538     69243428.703903
2.522523     2.976080     2.748395     70268025.225000
2.537538     2.929288     2.764502     71100537.181662
2.552553     2.877237     2.768671     71629112.088507
2.567568     2.824096     2.760131     71828207.936979
2.582583     2.772628     2.737387     71652923.621080
2.597598     2.729230     2.696954     71004994.486522
2.612613     2.706880     2.640969     69932951.564139
2.627628     2.716676     2.584103     68820407.437275
2.642643     2.755095     2.548842     68269200.459987
2.657658     2.801018     2.547575     68622984.584320
2.672673     2.835227     2.572514     69686248.155274
2.687688     2.852363     2.612089     71155805.297098
2.702703     2.849896     2.658971     72837567.076258
2.717718     2.826932     2.702379     74437909.222872
2.732733     2.791914     2.733197     75702751.339516
2.747748     2.754670     2.752259     76649552.661854
2.762763     2.719371     2.763697     77388706.827483
2.777778     2.688634     2.771638     78032867.329270
2.792793     2.660867     2.783227     78782693.471946
2.807808     2.626598     2.799566     79671245.174911
2.822823     2.582286     2.810769     80417818.525135
2.837838     2.535832     2.811639     80870606.179430
2.852853     2.491799     2.806707     81155869.165405
2.867868     2.447618     2.797441     81313686.988758
2.882883     2.404609     2.780506     81244565.475212
2.897898     2.367421     2.756817     80971948.073462
2.912913     2.337868     2.729775     80593095.590982
2.927928     2.316287     2.702569     80201157.116107
2.942943     2.301124     2.678337     79889672.772573
2.957958     2.289839     2.657624     79676283.710151
2.972973     2.282735     2.640123     79553367.851458
2.987988     2.280172     2.629643     79637780.901705
3.003003     2.276087     2.630105     80052029.417370
3.018018     2.262731     2.637467     80677481.136329
3.033033     2.239405     2.644046     81281123.645541
3.048048     2.209376     2.646456     81757966.270502
3.063063     2.173789     2.643277     82062011.157715
3.078078     2.134195     2.630588     82068389.485200
3.093093     2.097475     2.604798     81660222.558240
3.108108     2.073395     2.570748     80983988.842437
3.123123     2.062345     2.540462     80416528.877714
3.138138     2.055006     2.518316     80098758.709194
3.153153     2.046699     2.499540     79881941.234142
3.168168     2.039326     2.481397     79679768.957219
3.183183     2.034204     2.465229     79535758.205027
3.198198     2.029946     2.452316     79492334.628796
3.213213     2.024846     2.441781     79522444.041335
3.228228     2.019236     2.431383     79553853.364029
3.243243     2.016654     2.421350     79594043.700292
