#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
2.207207     4.300001     0.429363     9605306.084386
2.222222     4.338258     0.429569     9675297.136942
2.237237     4.385676     0.436556     9899101.373258
2.252252     4.439442     0.453742     10357845.987262
2.267267     4.496453     0.483184     11103467.531867
2.282282     4.552271     0.526332     12175111.796943
2.297297     4.601305     0.581349     13536227.867074
2.312312     4.641380     0.642464     15057007.863073
2.327327     4.676192     0.706250     16659403.562244
2.342342     4.708526     0.775146     18402526.806573
2.357357     4.737249     0.852350     20365125.230287
2.372372     4.759110     0.940849     22622790.213892
2.387387     4.765965     1.041988     25213263.012618
2.402402     4.748002     1.147731     27946633.753234
2.417417     4.705483     1.243392     30465135.223544
2.432432     4.649041     1.320225     32548586.226262
2.447447     4.589353     1.380110     34235010.914505
2.462462     4.528988     1.428583     35654854.373955
2.477477     4.466809     1.465569     36800995.140215
2.492492     4.406360     1.488300     37598264.057737
2.507508     4.354651     1.497847     38067408.988121
2.522523     4.317773     1.500836     38371777.808232
2.537538     4.296401     1.507708     38776904.964433
2.552553     4.284077     1.528198     39536457.734958
2.567568     4.267605     1.566397     40763115.433504
2.582583     4.233370     1.614284     42254972.075545
2.597598     4.179631     1.657155     43629323.000883
2.612613     4.112812     1.687654     44689133.307485
2.627628     4.035117     1.702121     45331251.529444
2.642643     3.951590     1.689410     45249830.461705
2.657658     3.883289     1.643927     44281789.340190
2.672673     3.849986     1.582621     42871262.408658
2.687688     3.850917     1.529891     41675701.659286
2.702703     3.871538     1.499705     41081639.734879
2.717718     3.896033     1.493113     41128267.288894
2.732733     3.915713     1.503645     41647214.610782
2.747748     3.928347     1.527471     42539588.974080
2.762763     3.928544     1.563291     43775077.285342
2.777778     3.909741     1.602967     45130021.006141
2.792793     3.874418     1.635020     46281279.662869
2.807808     3.830619     1.655626     47116515.046316
2.822823     3.781516     1.665754     47658246.628945
2.837838     3.728154     1.662150     47808080.493035
2.852853     3.677807     1.640536     47436078.797984
2.867868     3.640812     1.604155     46628243.030161
2.882883     3.622682     1.562502     45655301.092260
2.897898     3.621701     1.526230     44827704.740633
2.912913     3.629787     1.500966     44314090.153620
2.927928     3.640863     1.485000     44068725.094649
2.942943     3.653121     1.477819     44080511.297155
2.957958     3.661518     1.479246     44348188.343327
2.972973     3.662386     1.482823     44681096.253948
2.987988     3.660051     1.482210     44888186.750980
3.003003     3.662172     1.478114     44989089.028875
3.018018     3.672839     1.479340     45251534.361593
3.033033     3.683262     1.496186     45994552.233433
3.048048     3.677802     1.523384     47062474.043463
3.063063     3.655259     1.545012     47965754.551017
3.078078     3.625449     1.555239     48519951.821380
3.093093     3.592454     1.555845     48775632.022937
3.108108     3.557801     1.544008     48639514.542213
3.123123     3.529926     1.517421     48032877.571681
3.138138     3.518147     1.483761     47193207.288344
3.153153     3.520911     1.456858     46559224.842539
3.168168     3.524103     1.441847     46298913.453481
3.183183     3.518241     1.426511     46023575.128449
3.198198     3.512760     1.398651     45337583.673127
3.213213     3.521625     1.362930     44387087.837322
3.228228     3.546783     1.332065     43584598.140932
3.243243     3.581696     1.312284     43137077.927789
3.258258     3.622482     1.305122     43100293.108688
3.273273     3.664451     1.313876     43589317.106049
3.288288     3.700032     1.338392     44606363.758882
3.303303     3.723201     1.375431     46050135.490334
3.318318     3.727789     1.420068     47760717.554489
3.333333     3.709315     1.461852     49388486.971289
3.348348     3.671355     1.487912     50495343.147093
3.363363     3.624203     1.489300     50769118.106334
3.378378     3.582914     1.463245     50103591.533864
3.393393     3.563092     1.418532     48788417.977983
3.408408     3.568476     1.373314     47442208.377023
3.423423     3.588372     1.339179     46466810.613626
3.438438     3.612621     1.314305     45803723.877872
3.453453     3.639330     1.294818     45321673.409285
3.468468     3.667676     1.279049     44964381.303699
3.483483     3.699740     1.264532     44646455.629998
