#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
2.252252     5.125149     0.086478     1974080.807747
2.267267     5.151346     0.089401     2054411.298679
2.282282     5.178425     0.092518     2140126.149007
2.297297     5.206446     0.095852     2231831.866636
2.312312     5.235471     0.099428     2330236.976086
2.327327     5.265572     0.103278     2436175.653516
2.342342     5.296829     0.107437     2550638.525576
2.357357     5.329331     0.111950     2674813.357697
2.372372     5.363179     0.116870     2810139.677954
2.387387     5.398489     0.122261     2958383.275227
2.402402     5.435391     0.128206     3121739.755249
2.417417     5.474035     0.134807     3302981.275676
2.432432     5.514591     0.142196     3505668.840436
2.447447     5.557258     0.150547     3734466.017199
2.462462     5.602257     0.160092     3995611.713152
2.477477     5.649837     0.171150     4297643.128814
2.492492     5.700259     0.184166     4652501.818811
2.507508     5.753758     0.199772     5077166.283213
2.522523     5.810442     0.218866     5595738.709321
2.537538     5.870066     0.242651     6240759.293077
2.552553     5.931622     0.272455     7048765.474701
2.567568     5.993037     0.308945     8039813.200521
2.582583     6.052029     0.350888     9184729.899139
2.597598     6.108378     0.395547     10413895.769698
2.612613     6.164400     0.441647     11694820.974462
2.627628     6.221901     0.490588     13065451.766576
2.642643     6.280774     0.543853     14566786.906426
2.657658     6.341199     0.601775     16209759.751403
2.672673     6.404898     0.666013     18041479.460662
2.687688     6.472039     0.741276     20193077.954468
2.702703     6.539087     0.832552     22806206.018614
2.717718     6.599475     0.943760     25996183.608615
2.732733     6.641930     1.075318     29783625.605499
2.747748     6.655035     1.218139     33924793.035135
2.762763     6.635707     1.357607     38015555.740065
2.777778     6.588680     1.479738     41660645.381762
2.792793     6.526801     1.575134     44586136.191259
2.807808     6.464342     1.646011     46842883.859263
2.822823     6.406450     1.698853     48605234.915315
2.837838     6.357806     1.734967     49902497.250801
2.852853     6.327597     1.762633     50966510.481715
2.867868     6.313679     1.798332     52272423.583772
2.882883     6.300317     1.849792     54049702.330070
2.897898     6.272927     1.908207     56046961.182029
2.912913     6.231448     1.958116     57810851.208264
2.927928     6.186520     1.992606     59132388.184416
2.942943     6.146707     2.014258     60081443.320914
2.957958     6.116456     2.027225     60776761.814712
2.972973     6.098743     2.037951     61408474.374079
2.987988     6.090705     2.053734     62196589.602697
3.003003     6.086335     2.077421     63230093.433689
3.018018     6.078991     2.107888     64478201.390598
3.033033     6.065282     2.137895     65721424.039875
3.048048     6.051193     2.161962     66790295.381712
3.063063     6.042358     2.184396     67815780.761366
3.078078     6.036262     2.210292     68956119.329427
3.093093     6.028849     2.238834     70187292.747809
3.108108     6.020070     2.268237     71454248.320844
3.123123     6.008435     2.299255     72781289.068802
3.138138     5.990675     2.328061     74047410.779664
3.153153     5.970000     2.348666     75060220.143330
3.168168     5.953103     2.361001     75813737.489870
3.183183     5.943139     2.369981     76462783.519044
3.198198     5.937232     2.379011     77116157.094860
3.213213     5.933872     2.385253     77681499.119788
3.228228     5.937131     2.388248     78142485.658992
3.243243     5.948144     2.391417     78610112.053063
3.258258     5.967556     2.396002     79125439.451267
3.273273     5.996335     2.407228     79862534.634188
3.288288     6.028530     2.428986     80954027.297942
3.303303     6.059740     2.459123     82332680.568146
3.318318     6.087453     2.495949     83945476.646926
3.333333     6.109620     2.535295     85654625.530625
3.348348     6.128617     2.572907     87316896.832174
3.363363     6.148470     2.608562     88923880.830231
3.378378     6.170034     2.644541     90552847.035650
3.393393     6.192155     2.679932     92172538.141302
3.408408     6.217465     2.712270     93697521.023572
3.423423     6.251431     2.742893     95172845.519149
3.438438     6.296394     2.778462     96829833.493551
3.453453     6.348368     2.822768     98803505.954861
3.468468     6.407129     2.874869     101064651.432908
3.483483     6.475582     2.938838     103760720.842045
3.498498     6.552146     3.023100     107195796.677625
3.513514     6.628387     3.135922     111673579.709240
3.528529     6.688435     3.280131     117308208.784417
3.543544     6.713623     3.444404     123707305.825897
3.558559     6.699866     3.603111     129955668.055434
3.573574     6.664704     3.737559     135373697.880328
3.588589     6.630141     3.848562     139979891.249024
3.603604     6.608999     3.949523     144253120.233351
3.618619     6.601002     4.056138     148764402.706072
3.633634     6.597981     4.177148     153838335.276923
3.648649     6.591261     4.315314     159583503.308377
3.663664     6.572324     4.469318     165958853.222748
3.678679     6.535716     4.633166     172748074.070679
3.693694     6.482311     4.801420     179752165.375210
3.708709     6.414116     4.974876     187002968.221865
3.723724     6.326549     5.157512     194653059.835802
3.738739     6.207855     5.346264     202590501.079085
3.753754     6.051014     5.527118     210284883.197770
3.768769     5.858848     5.685197     217164354.658835
3.783784     5.639314     5.807307     222712508.690085
3.798799     5.409855     5.882933     226508098.981344
3.813814     5.194475     5.917457     228737905.659256
3.828829     5.004266     5.932791     230233514.689113
3.843844     4.830429     5.948016     231729546.106246
3.858859     4.656413     5.969087     233458833.516392
3.873874     4.463470     5.989385     235164221.048485
3.888889     4.241299     5.981447     235762831.173781
3.903904     4.014611     5.913997     234004252.146329
3.918919     3.827414     5.792698     230086251.671177
3.933934     3.699111     5.653368     225412410.351114
3.948949     3.619273     5.526789     221206539.011135
3.963964     3.567380     5.424799     217950003.363848
3.978979     3.528840     5.345811     215590069.080895
3.993994     3.496494     5.287736     214052702.687730
4.009009     3.462088     5.249669     213310618.401488
4.024024     3.416484     5.225511     213124262.847294
4.039039     3.356088     5.204544     213061133.862123
4.054054     3.283895     5.177265     212732309.405347
4.069069     3.206025     5.138063     211903439.661318
4.084084     3.129854     5.084249     210457797.519869
4.099099     3.064123     5.017312     208450540.268297
4.114114     3.015639     4.944178     206164535.302325
4.129129     2.985291     4.875762     204053697.669410
4.144144     2.965069     4.820384     202469667.898036
4.159159     2.944416     4.776683     201361045.771153
4.174174     2.920216     4.736550     200390079.362772
4.189189     2.897815     4.697044     199433507.916410
4.204204     2.878039     4.663772     198730570.100445
4.219219     2.852965     4.637579     198320213.809041
4.234234     2.818888     4.609889     197837637.737977
4.249249     2.781130     4.574649     197021457.417453
4.264264     2.744119     4.532197     195882859.017396
4.279279     2.708966     4.482172     194402886.302370
4.294294     2.678432     4.421000     192422489.078554
4.309309     2.662272     4.346143     189825786.453154
4.324324     2.674224     4.266113     186979571.898097
4.339339     2.718208     4.202258     184820397.428981
4.354354     2.777426     4.174742     184245516.345797
4.369369     2.824263     4.181792     185193053.264680
4.384384     2.845959     4.202494     186749421.281285
4.399399     2.849171     4.219625     188152846.070407
4.414414     2.845569     4.228800     189205520.958864
4.429429     2.842252     4.233097     190041961.407700
4.444444     2.842002     4.235911     190812930.429120
4.459459     2.847367     4.241678     191718235.665757
4.474474     2.856142     4.257639     193087624.246896
4.489489     2.860682     4.286403     195044405.858567
4.504505     2.855056     4.325554     197484188.829558
4.519520     2.834280     4.372204     200279353.976689
4.534535     2.792306     4.419145     203102148.907661
4.549550     2.729623     4.452902     205331257.014079
4.564565     2.658305     4.463931     206519163.143686
4.579580     2.591294     4.455196     206793056.787286
4.594595     2.533301     4.433012     206438015.722642
4.609610     2.487736     4.400872     205611026.081598
4.624625     2.459092     4.365257     204611419.444674
4.639640     2.447022     4.336425     203919918.655278
4.654655     2.444026     4.322690     203931869.176871
4.669670     2.439343     4.325633     204728995.777208
4.684685     2.423812     4.340666     206101054.535602
4.699700     2.392798     4.358462     207609327.836204
4.714715     2.349214     4.369891     208818770.730439
4.729730     2.299171     4.370961     209535086.962754
4.744745     2.248430     4.361170     209729416.624775
4.759760     2.201708     4.342552     209494966.594906
4.774775     2.161867     4.319147     209023167.749777
4.789790     2.128052     4.295816     208547842.243131
4.804805     2.096550     4.273431     208111438.676293
4.819820     2.067751     4.249862     207610428.383329
4.834835     2.044195     4.228012     207186456.101844
4.849850     2.022190     4.212964     207090212.981398
4.864865     1.994068     4.203744     207276719.722863
4.879880     1.955365     4.193147     207392345.407989
4.894895     1.908025     4.171986     206980641.029006
4.909910     1.861039     4.134377     205743985.184333
4.924925     1.824924     4.083169     203817034.416571
4.939940     1.804258     4.026143     201583201.010279
4.954955     1.798786     3.969765     199364590.853292
4.969970     1.807034     3.918332     197377902.509543
4.984985     1.827915     3.875772     195823856.909284
5.000000     1.858849     3.847768     194994526.029768
5.015015     1.892459     3.839074     195138153.362050
5.030030     1.918894     3.848464     196201136.272366
5.045045     1.931700     3.869283     197851390.582021
5.060060     1.929138     3.893655     199690142.031296
5.075075     1.913789     3.914243     201341699.667791
5.090090     1.892193     3.927776     202635558.128724
5.105105     1.869313     3.937072     203714347.409065
5.120120     1.844550     3.945720     204762265.284801
5.135135     1.815444     3.953926     205789820.945520
5.150150     1.780147     3.959639     206689788.200124
5.165165     1.739143     3.959097     207264022.082623
5.180180     1.695560     3.950299     207404584.357470
5.195195     1.651672     3.932889     207089048.044764
5.210210     1.610539     3.905769     206255406.254103
5.225225     1.577002     3.870860     205000999.167514
5.240240     1.552562     3.832839     203570715.068110
5.255255     1.536161     3.794658     202120295.528233
5.270270     1.526943     3.757710     200724160.597863
5.285285     1.524955     3.723762     199477482.394861
5.300300     1.528846     3.695951     198550117.404473
5.315315     1.534501     3.675895     198032142.679643
5.330330     1.538248     3.661265     197801124.240873
5.345345     1.540218     3.648969     197692196.844058
5.360360     1.541934     3.638175     197661076.367150
5.375375     1.544811     3.629605     197747793.829199
5.390390     1.548914     3.626137     198110708.587163
5.405405     1.549915     3.630115     198880488.653076
5.420420     1.542302     3.637913     199861338.017882
5.435435     1.526496     3.642411     200662794.980477
5.450450     1.508192     3.640379     201104836.275049
5.465465     1.492567     3.633968     201303720.824679
5.480480     1.481224     3.628086     201530026.893271
5.495495     1.471352     3.627018     202022638.586991
5.510511     1.457919     3.631466     202823073.140341
5.525526     1.436531     3.638505     203769916.847080
5.540541     1.405388     3.642431     204544096.128572
5.555556     1.367382     3.636772     204779781.536069
5.570571     1.330211     3.619151     204338360.322552
5.585586     1.299888     3.594608     203499704.764927
5.600601     1.274733     3.568972     202591535.580938
5.615616     1.250861     3.541611     201577379.574867
5.630631     1.229424     3.509034     200257202.858276
5.645646     1.215254     3.471446     198640369.687139
5.660661     1.211401     3.433900     197014526.450260
5.675676     1.215400     3.402517     195731819.754249
5.690691     1.220505     3.378510     194864965.703300
5.705706     1.223130     3.356256     194092168.111673
5.720721     1.227608     3.330873     193131151.239422
5.735736     1.240460     3.304546     192107553.614834
5.750751     1.264231     3.284479     191440829.595513
5.765766     1.295470     3.279098     191626235.696310
5.780781     1.323720     3.293402     192963314.155583
5.795796     1.336383     3.321769     195130871.078238
5.810811     1.330836     3.351062     197361650.842800
5.825826     1.313981     3.373828     199215896.579173
5.840841     1.291857     3.390350     200707435.861124
5.855856     1.266261     3.402663     201954199.142970
5.870871     1.236966     3.411359     202989479.713302
5.885886     1.204028     3.415667     203765636.500472
5.900901     1.168151     3.415206     204257832.029618
5.915916     1.128495     3.409501     204435531.801081
5.930931     1.084954     3.394153     204031769.455496
5.945946     1.044237     3.365248     202806339.181271
5.960961     1.014333     3.327347     201028629.277650
5.975976     0.995459     3.288718     199195269.414457
5.990991     0.982864     3.252388     197489726.418069
6.006006     0.974327     3.217137     195838871.624876
6.021021     0.969973     3.182626     194222382.968299
6.036036     0.969590     3.149081     192654530.657391
6.051051     0.973410     3.116341     191125801.348038
6.066066     0.982313     3.084857     189664321.857883
6.081081     0.997236     3.055808     188343379.989766
6.096096     1.018976     3.031494     187306174.504807
6.111111     1.047066     3.015342     186767063.854883
6.126126     1.079112     3.011265     186972803.732102
6.141141     1.109620     3.022483     188129308.312868
6.156156     1.130685     3.048396     190206113.085413
6.171171     1.135284     3.083716     192879259.350706
6.186186     1.119527     3.119004     195561118.646507
6.201201     1.086885     3.142625     197520382.013519
6.216216     1.048547     3.148845     198390504.265021
6.231231     1.015111     3.141498     198405721.646506
6.246246     0.990339     3.129457     198121529.300138
6.261261     0.970040     3.119854     197988315.270371
6.276276     0.947216     3.112295     197982291.581660
6.291291     0.919835     3.101027     197737438.017404
6.306306     0.891705     3.082179     197004659.369425
6.321321     0.867263     3.056450     195825225.757633
6.336336     0.848727     3.026422     194361919.604842
6.351351     0.836710     2.994707     192780888.520153
6.366366     0.830885     2.963638     191231858.297718
6.381381     0.829951     2.935392     189856015.263674
6.396396     0.831029     2.910848     188711523.853949
6.411411     0.831962     2.887860     187660680.944603
6.426426     0.833937     2.863990     186545424.176453
6.441441     0.839393     2.839233     185364959.064666
6.456456     0.850193     2.815210     184224979.382981
6.471471     0.867253     2.795080     183333097.325593
6.486486     0.888761     2.782680     182943212.233801
6.501502     0.910724     2.779816     183177997.132680
6.516517     0.929089     2.786126     184017760.739376
6.531532     0.940052     2.799626     185335486.929768
6.546547     0.940978     2.816188     186860492.780652
6.561562     0.932036     2.830889     188266727.716214
6.576577     0.915588     2.839740     189287501.993896
6.591592     0.896049     2.840220     189751725.363391
6.606607     0.878737     2.833680     189746059.306478
6.621622     0.865550     2.824560     189565239.129941
6.636637     0.854724     2.815853     189409428.223145
6.651652     0.843913     2.807953     189305353.506714
6.666667     0.831710     2.799510     189162157.058109
6.681682     0.818539     2.788834     188865237.014349
6.696697     0.805842     2.775399     188377719.145663
6.711712     0.794689     2.760013     187753465.348490
6.726727     0.784631     2.743523     187049254.557264
6.741742     0.775018     2.725120     186209282.286683
6.756757     0.766870     2.703276     185128010.334775
6.771772     0.763106     2.677684     183782943.681960
6.786787     0.766533     2.651191     182368016.150383
6.801802     0.776616     2.627921     181167269.198654
6.816817     0.790632     2.609929     180324102.182338
6.831832     0.806192     2.597079     179831564.922989
6.846847     0.822559     2.588690     179644627.225639
6.861862     0.839451     2.585455     179813567.802998
6.876877     0.855007     2.588528     180421264.204970
6.891892     0.865894     2.597561     181446156.353016
6.906907     0.869129     2.609124     182650911.081192
6.921922     0.865723     2.618040     183673522.424644
6.936937     0.860458     2.622704     184399821.679760
6.951952     0.855747     2.626186     185044319.823635
6.966967     0.849657     2.630301     185734575.452708
6.981982     0.840906     2.633349     186350574.887792
6.996997     0.831080     2.634174     186809792.181938
