#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
2.192192     3.880207     1.774793     39433916.095094
2.207207     3.836081     1.804954     40378749.308710
2.222222     3.780498     1.818630     40961451.518789
2.237237     3.721452     1.815556     41168523.727407
2.252252     3.663077     1.793531     40942039.381430
2.267267     3.616955     1.750525     40226707.587080
2.282282     3.595770     1.697863     39274940.714338
2.297297     3.597366     1.652961     38487811.547003
2.312312     3.610047     1.622866     38034063.853155
2.327327     3.625014     1.606864     37903575.200346
2.342342     3.635272     1.601319     38016465.059886
2.357357     3.638262     1.598468     38192038.639556
2.372372     3.637813     1.592552     38293055.305174
2.387387     3.640327     1.582082     38282078.472092
2.402402     3.652747     1.572795     38296701.083270
2.417417     3.672319     1.576116     38617419.112670
2.432432     3.687307     1.595529     39335886.515994
2.447447     3.687983     1.625950     40333340.210696
2.462462     3.668149     1.657692     41372989.131367
2.477477     3.628560     1.676314     42092870.535055
2.492492     3.582185     1.670177     42192943.250909
2.507508     3.547158     1.642055     41732401.556361
2.522523     3.531473     1.606272     41067454.877137
2.537538     3.530724     1.574446     40493367.153373
2.552553     3.537226     1.550525     40114104.042544
2.567568     3.544118     1.532799     39888778.794432
2.582583     3.549475     1.515327     39664690.191952
2.597598     3.557329     1.494540     39348033.377709
2.612613     3.572659     1.472086     38980885.096194
2.627628     3.597310     1.453184     38701502.055060
2.642643     3.628827     1.442854     38645995.065271
2.657658     3.662590     1.442987     38869146.662648
2.672673     3.695061     1.453460     39372432.555294
2.687688     3.722167     1.474042     40154304.965958
2.702703     3.739002     1.501446     41129324.543915
2.717718     3.743979     1.529729     42136882.492448
2.732733     3.737843     1.554203     43047554.912530
2.747748     3.722045     1.568894     43693206.501289
2.762763     3.703881     1.567533     43893856.386843
2.777778     3.694977     1.551346     43676695.345058
2.792793     3.702646     1.530037     43309611.969032
2.807808     3.724482     1.514903     43111748.734106
2.822823     3.752110     1.509790     43196012.891236
2.837838     3.780887     1.512137     43493285.137769
2.852853     3.810011     1.520610     43968401.105967
2.867868     3.837928     1.534649     44607882.547766
2.882883     3.864175     1.552532     45363971.502449
2.897898     3.889470     1.573984     46230314.827172
2.912913     3.914081     1.599555     47224813.406372
2.927928     3.937622     1.631422     48413916.520106
2.942943     3.955745     1.671569     49859702.150878
2.957958     3.962416     1.716860     51471911.628453
2.972973     3.955530     1.759384     53014555.123575
2.987988     3.939870     1.791966     54269045.118384
3.003003     3.922702     1.813239     55189234.517012
3.018018     3.909450     1.825488     55839848.520447
3.033033     3.903126     1.833154     56353342.741097
3.048048     3.903282     1.840035     56844875.646609
3.063063     3.910399     1.848276     57380756.870951
3.078078     3.923624     1.863846     58147796.599630
3.093093     3.934808     1.889988     59250978.519241
3.108108     3.937283     1.921106     60518890.105741
3.123123     3.931683     1.950954     61756064.316856
3.138138     3.919739     1.976939     62879476.119390
3.153153     3.902620     1.995299     63767101.643502
3.168168     3.886512     2.001967     64284870.452105
3.183183     3.880457     2.000960     64557031.423215
3.198198     3.884706     2.002493     64911241.586160
3.213213     3.891428     2.009191     65434113.386478
3.228228     3.898644     2.015770     65955154.212565
3.243243     3.911622     2.021185     66439914.036560
3.258258     3.933213     2.032196     67111156.313218
3.273273     3.957114     2.055784     68202983.263103
3.288288     3.973317     2.089843     69650941.064142
3.303303     3.978171     2.125273     71155197.337967
3.318318     3.976363     2.155070     72480784.201784
3.333333     3.973909     2.179264     73626147.026093
3.348348     3.972591     2.199859     74656750.551107
3.363363     3.974619     2.217227     75583573.856508
3.378378     3.982396     2.236331     76575169.804113
3.393393     3.989286     2.262069     77800722.591009
3.408408     3.988060     2.286637     78993682.695258
3.423423     3.986117     2.300002     79805426.282657
3.438438     3.995384     2.305952     80362798.448576
3.453453     4.018138     2.314476     81012068.442852
3.468468     4.050620     2.332433     81995575.148706
3.483483     4.086347     2.362589     83415249.586727
3.498498     4.120568     2.402621     85194301.648870
3.513514     4.152299     2.450877     87278381.668946
3.528529     4.178976     2.506637     89645538.317279
3.543544     4.199064     2.565821     92152627.635921
3.558559     4.215056     2.625637     94700513.095985
3.573574     4.228644     2.685575     97271053.210677
3.588589     4.242980     2.744139     99809835.947109
3.603604     4.263239     2.804684     102438801.154506
3.618619     4.289505     2.873045     105372854.167223
3.633634     4.321283     2.953000     108754708.466345
3.648649     4.357446     3.051988     112864771.196087
3.663664     4.389938     3.178314     118020094.477443
3.678679     4.405030     3.335268     124355834.882038
3.693694     4.387218     3.518419     131720070.144503
3.708709     4.323327     3.716709     139709152.589583
3.723724     4.202183     3.912242     147654496.694827
3.738739     4.021916     4.076002     154455386.020209
3.753754     3.802512     4.176742     158908430.961886
3.768769     3.586923     4.202279     160519542.633907
3.783784     3.416319     4.179192     160273669.186426
3.798799     3.293670     4.154133     159944827.319052
3.813814     3.187285     4.152591     160517419.860121
3.828829     3.061959     4.163404     161569009.558019
3.843844     2.910318     4.149379     161656212.891208
3.858859     2.764931     4.085916     159805561.719400
3.873874     2.663295     3.990080     156664512.986304
3.888889     2.612045     3.898722     153670787.209598
3.903904     2.592173     3.836317     151794876.695280
3.918919     2.580445     3.808137     151259391.810659
3.933934     2.558542     3.809884     151908573.276862
3.948949     2.509572     3.830481     153312766.274452
3.963964     2.423730     3.845913     154515738.215993
3.978979     2.313399     3.828009     154378963.823342
3.993994     2.209165     3.768322     152545317.714020
4.009009     2.133493     3.682693     149639449.293074
4.024024     2.090369     3.590724     146448915.076587
4.039039     2.075777     3.505668     143513387.859725
4.054054     2.083154     3.436729     141214184.525704
4.069069     2.104329     3.390207     139818543.575322
4.084084     2.128964     3.370000     139498031.567615
4.099099     2.144922     3.375200     140226939.798925
4.114114     2.140820     3.399931     141771853.520253
4.129129     2.106796     3.432296     143643739.240426
4.144144     2.040282     3.452942     145033264.630845
4.159159     1.953424     3.441798     145088971.765695
4.174174     1.871257     3.392388     143522357.757151
4.189189     1.814440     3.317950     140878053.401337
4.204204     1.787502     3.237525     137955954.405741
4.219219     1.785630     3.164406     135321798.628718
4.234234     1.800808     3.107145     133345980.587324
4.249249     1.822175     3.069058     132178519.207456
4.264264     1.840145     3.046080     131652427.154403
4.279279     1.852338     3.030474     131439151.176648
4.294294     1.862404     3.019118     131406056.853001
4.309309     1.871795     3.015174     131693261.185973
4.324324     1.875944     3.021387     132424420.397795
4.339339     1.868623     3.035939     133524240.369175
4.354354     1.843688     3.053535     134762847.806125
4.369369     1.797116     3.061913     135598561.218221
4.384384     1.737628     3.044479     135289844.931416
4.399399     1.687235     2.997431     133655275.534197
4.414414     1.661656     2.935909     131358822.503758
4.429429     1.659212     2.877577     129186835.950754
4.444444     1.670428     2.829990     127481146.542463
4.459459     1.688246     2.793665     126269976.239433
4.474474     1.708083     2.768040     125533004.788864
4.489489     1.725263     2.750656     125163246.195157
4.504505     1.738808     2.735843     124905563.472664
4.519520     1.753412     2.721208     124651501.027770
4.534535     1.771569     2.710740     124584521.803741
4.549550     1.790496     2.707176     124832695.752550
4.564565     1.807917     2.710268     125387751.778293
4.579580     1.822554     2.720137     126258302.873413
4.594595     1.831857     2.738107     127509084.122472
4.609610     1.828873     2.763292     129102428.961432
4.624625     1.807576     2.785497     130563760.556731
4.639640     1.774991     2.790938     131243531.284370
4.654655     1.747673     2.779067     131108244.223533
4.669670     1.732248     2.762970     130769333.811669
4.684685     1.721380     2.750241     130585416.756147
4.699700     1.710097     2.737508     130397422.013650
4.714715     1.699844     2.722388     130091518.014197
4.729730     1.691663     2.704665     129656217.687285
4.744745     1.687198     2.683856     129067121.081535
4.759760     1.689066     2.660951     128370566.506271
4.774775     1.699402     2.639072     127716668.412053
4.789790     1.718023     2.623178     127346737.174386
4.804805     1.740599     2.617511     127469966.116404
4.819820     1.761127     2.621539     128065069.723809
4.834835     1.776760     2.631750     128964393.274375
4.849850     1.786951     2.645154     130023802.130926
4.864865     1.792257     2.659294     131123557.000717
4.879880     1.794060     2.672411     132177025.794136
4.894895     1.794498     2.683760     133146767.631758
4.909910     1.795396     2.694112     134070311.019993
4.924925     1.797822     2.704261     134986935.819926
4.939940     1.803944     2.716120     135992221.855588
4.954955     1.813272     2.734842     137345812.909387
4.969970     1.820743     2.763152     139188066.862340
4.984985     1.822018     2.800420     141491588.821239
5.000000     1.812315     2.845865     144220779.156985
5.015015     1.784943     2.894290     147115277.260224
5.030030     1.738435     2.934044     149582482.539504
5.045045     1.681529     2.955248     151113241.103151
5.060060     1.626515     2.957710     151689260.672273
5.075075     1.581054     2.948109     151645501.197565
5.090090     1.546699     2.934764     151405675.635888
5.105105     1.519665     2.923476     151268224.996600
5.120120     1.495390     2.914673     151256331.528177
5.135135     1.472775     2.907067     151304010.232409
5.150150     1.451549     2.901221     151441245.130577
5.165165     1.430169     2.897753     151701218.059674
5.180180     1.406413     2.896504     152076664.678813
5.195195     1.377357     2.895104     152443723.011205
5.210210     1.342955     2.888106     152514776.951467
5.225225     1.308220     2.871258     152062018.807473
5.240240     1.280787     2.845489     151130346.020857
5.255255     1.265370     2.818308     150115586.454747
5.270270     1.258284     2.797866     149452552.549917
5.285285     1.252519     2.785155     149197444.129737
5.300300     1.245107     2.777504     149210282.588894
5.315315     1.235126     2.773910     149439312.323071
5.330330     1.219957     2.773576     149843440.097708
5.345345     1.196882     2.772426     150203201.108286
5.360360     1.167412     2.764092     150172363.606191
5.375375     1.138199     2.745264     149567245.219161
5.390390     1.115762     2.718878     148543439.394758
5.405405     1.101982     2.690525     147403856.060028
5.420420     1.095052     2.664165     146365148.030613
5.435435     1.092859     2.640895     145488602.690270
5.450450     1.094561     2.621736     144832132.580935
5.465465     1.098270     2.607902     144464760.304318
5.480480     1.102178     2.599448     144392077.174738
5.495495     1.104299     2.596977     144650037.754200
5.510511     1.100369     2.599388     145179880.348868
5.525526     1.087899     2.600512     145638400.180912
5.540541     1.071952     2.594035     145670441.678575
5.555556     1.060759     2.581918     145382947.617934
5.570571     1.055940     2.572164     145225175.140669
5.585586     1.051119     2.569629     145473108.497272
5.600601     1.039090     2.570678     145923673.861650
5.615616     1.019800     2.567546     146136658.234473
5.630631     0.999000     2.556901     145919894.294679
5.645646     0.980650     2.540507     145370893.291981
5.660661     0.966623     2.519352     144543811.539994
5.675676     0.960677     2.496049     143586694.928531
5.690691     0.962819     2.477514     142897507.960208
5.705706     0.966813     2.467457     142692938.942881
5.720721     0.967191     2.463606     142845153.766058
5.735736     0.961744     2.461945     143123541.325558
5.750751     0.950980     2.458070     143272318.279521
5.765766     0.938325     2.449230     143129795.575571
5.780781     0.927697     2.435971     142725689.477161
5.795796     0.921125     2.420907     142211471.293559
5.810811     0.918641     2.406683     141742177.682919
5.825826     0.919085     2.395551     141451158.721335
5.840841     0.919563     2.388583     141403175.885927
5.855856     0.917625     2.383603     141471156.593260
5.870871     0.914580     2.378007     141500922.639160
5.885886     0.912920     2.372957     141561546.047170
5.900901     0.911290     2.371448     141832385.832408
5.915916     0.905997     2.372469     142254526.598049
5.930931     0.897180     2.372634     142625495.218984
5.945946     0.886699     2.371722     142931606.153117
5.960961     0.874014     2.370211     143201279.386047
5.975976     0.858459     2.366620     143344438.576069
5.990991     0.841071     2.358856     143233173.605308
6.006006     0.824788     2.345884     142802529.032579
6.021021     0.812777     2.329718     142172986.986390
6.036036     0.804995     2.314109     141572603.377731
6.051051     0.798485     2.300468     141088141.496699
6.066066     0.791362     2.286525     140581014.811411
6.081081     0.785996     2.269920     139905505.230522
6.096096     0.786057     2.252912     139200104.928071
6.111111     0.790862     2.240549     138777204.860798
6.126126     0.795582     2.234931     138769342.592171
6.141141     0.795882     2.233633     139028665.904448
6.156156     0.790805     2.232175     139277618.389292
6.171171     0.782930     2.227051     139296855.205968
6.186186     0.776510     2.218112     139075316.773892
6.201201     0.774145     2.208688     138820562.313343
6.216216     0.774496     2.203028     138800046.113945
6.231231     0.772859     2.202187     139082223.423868
6.246246     0.766146     2.202495     139436878.525299
6.261261     0.755951     2.200012     139614452.099362
6.276276     0.745621     2.194388     139591508.493197
6.291291     0.736409     2.187670     139497070.913718
6.306306     0.727232     2.181183     139415382.134786
6.321321     0.716659     2.174336     139308637.746371
6.336336     0.704481     2.165245     139055669.181848
6.351351     0.692635     2.152264     138549581.203711
6.366366     0.683957     2.136117     137835215.258063
6.381381     0.679807     2.119432     137081168.095712
6.396396     0.679194     2.105032     136470096.220171
6.411411     0.679451     2.093726     136055808.755585
6.426426     0.679052     2.084115     135748413.268439
6.441441     0.678245     2.075153     135480445.237748
6.456456     0.677247     2.066605     135236915.409260
6.471471     0.676357     2.058194     134999728.659786
6.486486     0.676015     2.050205     134787731.595446
6.501502     0.676018     2.042997     134624780.773630
6.516517     0.676454     2.036439     134502494.204277
6.531532     0.677883     2.031214     134466536.687594
6.546547     0.679738     2.029040     134631392.912457
6.561562     0.679318     2.030883     135062763.424960
6.576577     0.673327     2.034617     135620727.252463
6.591592     0.661592     2.035683     136001579.528092
6.606607     0.647616     2.031498     136031170.140471
6.621622     0.634625     2.023065     135774368.583253
6.636637     0.623441     2.012406     135365224.615019
6.651652     0.613343     2.000458     134866005.966441
6.666667     0.603929     1.986489     134226539.281367
6.681682     0.596639     1.969741     133394648.643534
6.696697     0.593356     1.951381     132448223.243077
6.711712     0.594533     1.933484     131527756.575964
6.726727     0.599736     1.917837     130755204.932566
6.741742     0.607790     1.906044     130241268.969367
6.756757     0.616998     1.898863     130039578.038372
6.771772     0.625897     1.896886     130192857.060263
6.786787     0.631474     1.900808     130751303.111398
6.801802     0.629355     1.907722     131517207.519901
6.816817     0.619563     1.911180     132046482.398749
6.831832     0.607230     1.908012     132117962.141398
6.846847     0.596339     1.899853     131842124.899288
6.861862     0.588068     1.888708     131356105.422963
6.876877     0.583217     1.876052     130761408.040505
6.891892     0.582081     1.864005     130205427.149849
6.906907     0.583439     1.854862     129849062.272780
6.921922     0.584315     1.849583     129760933.529514
6.936937     0.581784     1.846092     129797000.003160
6.951952     0.576179     1.840765     129702555.677657
6.966967     0.570386     1.832407     129392535.895071
6.981982     0.566084     1.822329     128958219.183889
6.996997     0.563323     1.811465     128465120.045497
7.012012     0.562500     1.800086     127932071.561116
7.027027     0.564361     1.789349     127441270.097057
7.042042     0.568362     1.781305     127139476.329526
7.057057     0.572158     1.777046     127105902.558791
7.072072     0.573361     1.775426     127260267.724147
7.087087     0.571333     1.774293     127449089.744796
7.102102     0.566603     1.772225     127570230.700803
7.117117     0.559615     1.768178     127547967.143826
7.132132     0.551499     1.760728     127278523.582049
7.147147     0.544693     1.749540     126736015.229329
7.162162     0.541201     1.736274     126039321.137098
7.177177     0.541145     1.723387     125366102.795195
7.192192     0.542953     1.712084     124804421.553722
7.207207     0.545930     1.701836     124316335.437950
7.222222     0.550592     1.693204     123943447.939006
7.237237     0.556027     1.687685     123796319.475665
7.252252     0.560056     1.685651     123903619.533669
7.267267     0.560391     1.685791     124170502.001836
7.282282     0.556070     1.685084     124374873.485920
7.297297     0.548773     1.680542     124295344.812774
7.312312     0.541587     1.671390     123872840.890123
7.327327     0.536807     1.658807     123192667.453679
7.342342     0.535471     1.644517     122381734.128549
7.357357     0.537633     1.630160     121561400.618319
7.372372     0.542922     1.616793     120810643.532239
7.387387     0.551119     1.605569     120216341.170743
7.402402     0.560988     1.598067     119897772.294999
7.417417     0.570003     1.594483     119871572.107638
7.432432     0.576407     1.593092     120009446.116844
7.447447     0.580061     1.591760     120151314.555148
7.462462     0.582154     1.588734     120164664.618439
7.477477     0.584992     1.583732     120027358.765573
7.492492     0.589945     1.578554     119875181.940728
7.507508     0.596237     1.574758     119826537.702982
7.522523     0.602961     1.572340     119881880.432237
7.537538     0.610135     1.571134     120029051.960568
7.552553     0.618059     1.571685     120310315.815366
7.567568     0.626227     1.575391     120833765.530214
7.582583     0.632423     1.583061     121662951.191753
7.597598     0.634113     1.593402     122700209.587712
7.612613     0.630028     1.603613     123730503.304246
7.627628     0.620983     1.610220     124485315.331147
7.642643     0.610255     1.611156     124802861.395086
7.657658     0.601461     1.607110     124734098.113972
7.672673     0.596872     1.600989     124502650.921938
7.687688     0.595546     1.596462     124393558.940115
7.702703     0.594224     1.594154     124456309.842676
7.717718     0.591796     1.591932     124525106.044916
7.732733     0.589563     1.588853     124526031.728024
7.747748     0.588283     1.585827     124530197.790321
7.762763     0.587317     1.583547     124592207.346597
7.777778     0.586099     1.581680     124686019.278854
7.792793     0.584751     1.579882     124784668.707874
7.807808     0.583503     1.578254     124896264.033602
7.822823     0.582195     1.577152     125049115.051716
7.837838     0.580228     1.576470     125234938.876430
7.852853     0.577503     1.575522     125399433.330601
7.867868     0.574454     1.573916     125511084.655446
7.882883     0.571722     1.571554     125561924.904916
7.897898     0.570057     1.569034     125599360.023692
7.912913     0.569479     1.567690     125730316.283226
7.927928     0.568503     1.568779     126056462.368752
7.942943     0.564448     1.571553     126518524.217644
7.957958     0.556393     1.572548     126837927.083711
7.972973     0.547292     1.569010     126791323.572114
7.987988     0.540705     1.562219     126480296.428354
8.003003     0.537208     1.554937     126127380.168855
8.018018     0.535846     1.548648     125852871.826635
8.033033     0.535529     1.543946     125705767.844117
8.048048     0.535280     1.540788     125683133.224235
8.063063     0.534386     1.538955     125767839.764754
8.078078     0.531900     1.537700     125899295.514196
8.093093     0.528094     1.535253     125932595.257361
8.108108     0.524922     1.531322     125843128.039654
8.123123     0.523086     1.527538     125764668.861072
8.138138     0.521476     1.524793     125770663.576515
8.153153     0.519300     1.522459     125809875.264469
8.168168     0.516863     1.520131     125848847.558558
8.183183     0.514090     1.518014     125904584.824047
8.198198     0.510670     1.515752     125947664.333269
8.213213     0.506934     1.512889     125940039.589907
8.228228     0.503284     1.509620     125897637.904352
8.243243     0.499487     1.506013     125825997.953807
8.258258     0.495891     1.501549     125681568.294059
8.273273     0.493348     1.496771     125509425.714093
8.288288     0.491485     1.492693     125394642.093303
8.303303     0.489332     1.489353     125340718.163226
8.318318     0.486399     1.485974     125282484.911890
8.333333     0.483107     1.481702     125147820.278333
8.348348     0.480445     1.476418     124926192.419973
8.363363     0.479050     1.470775     124672488.961529
8.378378     0.479175     1.465458     124444829.413013
8.393393     0.480888     1.461746     124352047.305626
8.408408     0.482597     1.461102     124519624.710431
8.423423     0.481575     1.462749     124882639.827953
8.438438     0.477130     1.463712     125187551.163593
8.453453     0.471311     1.462202     125280982.784348
8.468468     0.465893     1.458919     125221708.401458
8.483483     0.460997     1.454706     125081489.766170
8.498498     0.456723     1.449654     124867727.406446
8.513514     0.453401     1.444045     124604314.488736
8.528529     0.451317     1.438327     124329849.915291
8.543544     0.450524     1.433438     124125318.335036
8.558559     0.450019     1.430270     124068643.780705
8.573574     0.448362     1.428513     124133676.113234
8.588589     0.444828     1.426981     124217752.138358
8.603604     0.439552     1.424319     124202721.544011
8.618619     0.433552     1.419414     123991058.588328
8.633634     0.428533     1.412100     123567046.492796
8.648649     0.425824     1.403594     123036296.588067
8.663664     0.425343     1.395424     122532531.950568
8.678679     0.426430     1.388272     122115730.173672
8.693694     0.428685     1.382501     121818491.490410
8.708709     0.431650     1.378676     121691279.749555
8.723724     0.434166     1.377366     121785289.154504
8.738739     0.434429     1.377853     122038020.164575
8.753754     0.432058     1.377993     122260164.389345
8.768769     0.428417     1.376646     122350154.953995
8.783784     0.424469     1.374055     122328973.551571
8.798799     0.420540     1.370420     122213911.069323
8.813814     0.416925     1.365939     122022165.338821
8.828829     0.413651     1.360711     121762198.344314
8.843844     0.411124     1.354488     121411472.175452
8.858859     0.410309     1.347817     121018596.339330
8.873874     0.411096     1.342225     120720790.399284
8.888889     0.411981     1.338219     120564173.908775
8.903904     0.412127     1.334739     120453739.256469
8.918919     0.412220     1.330918     120311435.101875
8.933934     0.413158     1.327292     120185706.218677
8.948949     0.414670     1.324916     120172177.109957
8.963964     0.415710     1.324204     120309143.859518
8.978979     0.414975     1.324634     120549789.613681
8.993994     0.412040     1.324358     120726235.890501
9.009009     0.408640     1.322126     120723939.057037
9.024024     0.406262     1.319080     120646527.006934
9.039039     0.404427     1.316346     120596849.787569
9.054054     0.402676     1.313926     120575040.285865
9.069069     0.400776     1.312058     120603317.710983
9.084084     0.397929     1.310596     120668397.208427
9.099099     0.393846     1.308528     120677158.036108
9.114114     0.389204     1.304979     120548384.995898
9.129129     0.385208     1.299852     120272598.547212
9.144144     0.382633     1.294121     119939253.131217
9.159159     0.381181     1.288628     119626269.547175
9.174174     0.380590     1.283726     119366627.638339
9.189189     0.380279     1.279949     119210236.481829
9.204204     0.379141     1.276953     119125460.001918
9.219219     0.377030     1.273414     118989137.590022
9.234234     0.375207     1.268629     118735083.828469
9.249249     0.374840     1.263581     118454962.948764
9.264264     0.375458     1.259579     118271406.712387
9.279279     0.376108     1.256758     118197851.692305
9.294294     0.376338     1.254917     118215628.663150
9.309309     0.375624     1.253878     118308619.884538
9.324324     0.373416     1.252895     118406547.146879
9.339339     0.370025     1.250761     118395135.618068
9.354354     0.366767     1.246967     118225791.157652
9.369369     0.364865     1.242304     117972729.781195
9.384384     0.364409     1.238219     117773314.752451
9.399399     0.364319     1.235631     117715151.758431
9.414414     0.363267     1.234256     117772030.956430
9.429429     0.360631     1.232965     117836433.968970
9.444444     0.356833     1.230494     117787536.468606
9.459459     0.353266     1.226415     117583758.423879
9.474474     0.350928     1.221787     117325948.189140
9.489489     0.349276     1.217705     117119251.328992
9.504505     0.347446     1.214049     116952380.324373
9.519520     0.345297     1.210256     116771235.577609
9.534535     0.343128     1.206016     116545656.153233
