#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
1.906907     3.937311     0.562927     10879912.846695
1.921922     3.954121     0.615851     11996508.999347
1.936937     3.948580     0.665375     13062473.725944
1.951952     3.927951     0.696322     13775987.785824
1.966967     3.908899     0.704387     14042736.836762
1.981982     3.904271     0.696777     13997065.411217
1.996997     3.920386     0.685309     13870994.115027
2.012012     3.954579     0.684137     13951381.270305
2.027027     3.994427     0.700183     14385157.618798
2.042042     4.029560     0.727626     15059706.679087
2.057057     4.061560     0.758604     15816293.329349
2.072072     4.094848     0.794938     16694814.652452
2.087087     4.126318     0.839718     17763047.449730
2.102102     4.153892     0.890200     18966410.193201
2.117117     4.180167     0.946996     20320591.167158
2.132132     4.202487     1.015226     21939174.390963
2.147147     4.213068     1.094275     23813971.960013
2.162162     4.208215     1.178872     25834403.842982
2.177177     4.185552     1.265080     27916128.279183
2.192192     4.142692     1.345160     29887937.952633
2.207207     4.084153     1.409799     31538712.067096
2.222222     4.018875     1.454884     32768722.432792
2.237237     3.955655     1.481658     33597223.574019
2.252252     3.900049     1.495203     34131917.620612
2.267267     3.853738     1.499846     34466159.425749
2.282282     3.820057     1.498677     34667374.651345
2.297297     3.802320     1.500998     34949500.316333
2.312312     3.793442     1.519417     35609600.641768
2.327327     3.775704     1.556998     36727293.254950
2.342342     3.733792     1.598938     37959931.687064
2.357357     3.672913     1.622919     38776246.818052
2.372372     3.612594     1.623333     39033178.982782
2.387387     3.563930     1.608630     38924464.279456
2.402402     3.530654     1.586891     38639939.415037
2.417417     3.512950     1.567258     38400400.041460
2.432432     3.505110     1.556295     38368620.271156
2.447447     3.500947     1.554584     38563034.651785
2.462462     3.498957     1.561665     38976338.218241
2.477477     3.495284     1.582641     39740724.901833
2.492492     3.476314     1.617013     40849901.504967
2.507508     3.432481     1.648731     41902074.886068
2.522523     3.372703     1.659875     42437915.719948
2.537538     3.313273     1.647212     42364837.481399
2.552553     3.264916     1.615183     41786883.824073
2.567568     3.236839     1.571078     40884929.482679
2.582583     3.232664     1.529335     40031371.098419
2.597598     3.244305     1.501886     39541435.906913
2.612613     3.261503     1.492112     39511178.566112
2.627628     3.274036     1.499715     39940734.631513
2.642643     3.272111     1.516651     40622601.236054
2.657658     3.256184     1.529426     41197524.810917
2.672673     3.236980     1.532195     41505284.481286
2.687688     3.222124     1.530702     41697783.835527
2.702703     3.209616     1.531391     41949608.948532
2.717718     3.194366     1.534763     42275542.364489
2.732733     3.173257     1.536522     42557839.227175
2.747748     3.148978     1.531237     42644469.109018
2.762763     3.127019     1.518223     42513077.723749
2.777778     3.111833     1.499917     42228761.730415
2.792793     3.105565     1.482409     41961440.039412
2.807808     3.103555     1.471349     41872267.446075
2.822823     3.099299     1.465073     41916632.791983
2.837838     3.091820     1.458665     41955275.016530
2.852853     3.083219     1.449648     41916556.948091
2.867868     3.076175     1.437028     41770334.592743
2.882883     3.074512     1.422106     41553020.669302
2.897898     3.079841     1.410252     41421266.454747
2.912913     3.087732     1.406472     41524269.287397
2.927928     3.091102     1.409385     41824763.747477
2.942943     3.088448     1.412417     42129700.203694
2.957958     3.083952     1.413279     42370491.939051
2.972973     3.079047     1.414157     42612026.862212
2.987988     3.071703     1.416211     42889428.845069
3.003003     3.059099     1.416873     43125121.462917
3.018018     3.042502     1.410921     43158666.980450
3.033033     3.027711     1.395751     42907045.676850
3.048048     3.021361     1.374515     42463412.946082
3.063063     3.024961     1.354883     42063084.289243
3.078078     3.033541     1.342267     41875688.339490
3.093093     3.040374     1.336088     41886263.777743
3.108108     3.042371     1.330565     41915593.268083
3.123123     3.043519     1.320402     41796405.758702
3.138138     3.050194     1.307732     41594362.309380
3.153153     3.062273     1.298675     41503926.049097
3.168168     3.075796     1.294946     41581800.860449
3.183183     3.088894     1.295862     41808444.911200
3.198198     3.100431     1.302229     42212024.195255
3.213213     3.105644     1.314975     42825305.078004
3.228228     3.097935     1.327892     43448059.904618
3.243243     3.079928     1.328625     43674238.368572
3.258258     3.065684     1.312844     43355280.970005
3.273273     3.065019     1.291041     42831757.847675
3.288288     3.073666     1.273273     42436060.907211
3.303303     3.086033     1.260207     42192354.492159
3.318318     3.099838     1.251531     42092360.060693
3.333333     3.112716     1.245752     42087566.385491
3.348348     3.125091     1.240992     42115625.197916
3.363363     3.136859     1.237424     42182834.835248
3.378378     3.147504     1.233378     42232628.356578
3.393393     3.158827     1.227762     42227168.546317
3.408408     3.172969     1.220988     42180004.654588
3.423423     3.191926     1.216767     42219355.796470
3.438438     3.210766     1.219900     42513695.151290
3.453453     3.222148     1.225780     42905183.111746
3.468468     3.228501     1.225635     43086627.410755
3.483483     3.238019     1.218945     43036934.947553
3.498498     3.253203     1.211103     42944375.239369
3.513514     3.272679     1.204389     42889596.872771
3.528529     3.296523     1.201014     42952174.001244
3.543544     3.320598     1.204386     43256074.917572
3.558559     3.338599     1.210370     43655196.537129
3.573574     3.353170     1.211310     43873437.391358
3.588589     3.371169     1.207722     43927266.921164
3.603604     3.393705     1.203774     43966872.980812
3.618619     3.419905     1.200849     44042780.097043
3.633634     3.449330     1.200627     44217369.535379
3.648649     3.478575     1.204093     44528253.634386
3.663664     3.504852     1.206292     44793162.001882
3.678679     3.533938     1.201693     44805256.099178
3.693694     3.574331     1.194413     44715599.254683
3.708709     3.626226     1.193492     44862749.640557
3.723724     3.684076     1.203164     45409386.972636
3.738739     3.742887     1.223100     46347972.849730
3.753754     3.799989     1.249852     47551898.088498
3.768769     3.858697     1.280489     48912391.429509
3.783784     3.922862     1.320473     50640670.008870
3.798799     3.986391     1.377166     53024438.109127
3.813814     4.038901     1.448557     55993621.365407
3.828829     4.076091     1.525993     59219143.910416
3.843844     4.100602     1.602120     62417209.230598
3.858859     4.117898     1.674227     65481230.410314
3.873874     4.131994     1.744517     68495835.909248
3.888889     4.141654     1.815834     71572333.641952
3.903904     4.144299     1.885961     74623456.529408
3.918919     4.142549     1.951093     77497518.449188
3.933934     4.140840     2.012751     80252896.151697
3.948949     4.139002     2.074117     83015327.005988
3.963964     4.136070     2.135459     85795475.913347
3.978979     4.132058     2.197522     88623391.797348
3.993994     4.125511     2.260899     91523386.370429
4.009009     4.114707     2.324415     94448335.002396
4.024024     4.098965     2.384763     97263361.153183
4.039039     4.082003     2.437440     99782740.890416
4.054054     4.072183     2.483349     102040106.564956
4.069069     4.073982     2.530879     104378229.501398
4.084084     4.084088     2.587946     107125617.880269
4.099099     4.097100     2.656436     110364969.236500
4.114114     4.112824     2.736647     114113919.381552
4.129129     4.130618     2.836433     118706508.528680
4.144144     4.138372     2.963719     124484526.225056
4.159159     4.120009     3.113882     131265668.724700
4.174174     4.067609     3.276289     138610548.797467
4.189189     3.974038     3.441647     146130141.586960
4.204204     3.832921     3.590984     153017406.526618
4.219219     3.654472     3.699724     158214015.897321
4.234234     3.464577     3.756189     161200318.681355
4.249249     3.288819     3.769245     162334224.060539
4.264264     3.136470     3.760877     162546162.992296
4.279279     2.995620     3.745860     162467194.897522
4.294294     2.853678     3.714816     161686087.735467
4.309309     2.723481     3.652268     159519525.702444
4.324324     2.629339     3.567924     156378625.543809
4.339339     2.575648     3.488680     153436369.574516
4.354354     2.547657     3.433019     151510761.351702
4.369369     2.526432     3.406441     150856210.737261
4.384384     2.493069     3.404737     151298880.556017
4.399399     2.432632     3.411432     152115542.143671
4.414414     2.346607     3.400551     152147881.878243
4.429429     2.258189     3.357195     150718960.363612
4.444444     2.189181     3.291107     148252814.648205
4.459459     2.144437     3.217455     145424731.164639
4.474474     2.123582     3.146834     142711619.768584
4.489489     2.122171     3.090551     140629484.884642
4.504505     2.128561     3.055236     139487499.308302
4.519520     2.131232     3.038500     139185843.629416
4.534535     2.123621     3.035031     139488826.690789
4.549550     2.099475     3.038809     140124900.200978
4.564565     2.054113     3.037536     140528474.052409
4.579580     1.993918     3.014031     139899729.743364
